scheme,variant,dropped,n_anchor,anchor_median,anchor_med_ci_lo,anchor_med_ci_hi,boot_seed,theta_0.0025,theta_0.0025_lo,theta_0.0025_hi,theta_0.005,theta_0.005_lo,theta_0.005_hi,theta_0.01,theta_0.01_lo,theta_0.01_hi,theta_0.02,theta_0.02_lo,theta_0.02_hi,theta_0.04,theta_0.04_lo,theta_0.04_hi,profile_min_sd,profile_min_theta,re_pooled,re_ci_lo,re_ci_hi,tau,I2,Q,Q_df,Q_p,homogeneity_rejected
loglin,full,,2856,572583.5,555497.0,592277.0,13568000,0.6325,0.2932,0.8244,0.3582,0.2821,0.3876,0.3725,0.3272,0.4315,0.5288,0.474,0.5725,0.6215,0.4897,0.6832,0.005,0.3582,0.4743,0.3782,0.5948,0.2349,0.9064,42.747,4,1.1677600863566187e-08,True
loglin,drop_census,census,2600,571612.0,554883.0,595097.0,13568001,0.6347,0.2933,0.8342,0.3589,0.2824,0.3885,0.3732,0.3249,0.4335,0.5292,0.4735,0.5706,0.6249,0.4897,0.6849,0.005,0.3589,0.476,0.3795,0.597,0.2351,0.904,41.649,4,1.9726599230216107e-08,True
loglin,drop_ladderN32,ladderN32,2656,574979.0,556478.6,594862.5,13568002,0.6272,0.2926,0.7861,0.3567,0.2799,0.3862,0.3708,0.3202,0.4292,0.5277,0.4722,0.5689,0.6131,0.4886,0.6818,0.005,0.3567,0.4707,0.3753,0.5904,0.2341,0.9004,40.176,4,3.980635899707787e-08,True
loglin,drop_new,new,856,577782.0,541451.4,612878.5,13568003,0.6211,0.289,0.8812,0.3549,0.2766,0.3939,0.3689,0.3124,0.439,0.5264,0.4655,0.5717,0.6034,0.4857,0.6851,0.005,0.3549,0.4673,0.3733,0.5849,0.2281,0.8744,31.837,4,2.065441575389247e-06,True
loglin,drop_tfixexp1,tfixexp1,2706,571612.0,553264.6,592669.8,13568004,0.6347,0.2945,0.807,0.3589,0.2822,0.3856,0.3732,0.3238,0.4307,0.5292,0.4739,0.5707,0.6249,0.4906,0.6848,0.005,0.3589,0.4762,0.3796,0.5974,0.2354,0.9033,41.369,4,2.2542524219736357e-08,True
loglin,drop_tfixexp2,tfixexp2,2606,568860.5,550602.0,589457.0,13568005,0.6408,0.2943,0.8524,0.3607,0.2829,0.3886,0.3751,0.3272,0.4332,0.5304,0.4748,0.5713,0.6267,0.492,0.6842,0.005,0.3607,0.4789,0.3823,0.6,0.235,0.9078,43.373,4,8.659015920597441e-09,True
isotonic,full,,2856,572583.5,555648.3,591899.5,13568100,0.6368,0.523,0.8395,0.3582,0.2941,0.3869,0.3725,0.326,0.4278,0.5288,0.4764,0.5709,0.6215,0.4988,0.6739,0.005,0.3582,0.4859,0.3884,0.608,0.2451,0.9355,62.006,4,1.0983824824237039e-12,True
isotonic,drop_census,census,2600,571612.0,553730.5,595097.0,13568101,0.6392,0.5012,0.856,0.3589,0.2924,0.3897,0.3732,0.3207,0.4304,0.5292,0.4728,0.5709,0.6249,0.4983,0.6749,0.005,0.3589,0.4868,0.3888,0.6095,0.2447,0.9304,57.446,4,9.971299441606698e-12,True
isotonic,drop_ladderN32,ladderN32,2656,574979.0,557872.7,595746.5,13568102,0.6308,0.4993,0.8261,0.3567,0.2923,0.3857,0.3708,0.3181,0.4288,0.5277,0.4737,0.5744,0.6131,0.4948,0.6727,0.005,0.3567,0.4825,0.3861,0.603,0.2431,0.9307,57.693,4,8.849827385655389e-12,True
isotonic,drop_new,new,856,577782.0,544072.5,612628.0,13568103,0.6239,0.493,0.8899,0.3549,0.2885,0.3927,0.3689,0.3134,0.4322,0.5264,0.4705,0.5717,0.6034,0.4954,0.6765,0.005,0.3549,0.4769,0.383,0.5938,0.2342,0.909,43.933,4,6.625810736206212e-09,True
isotonic,drop_tfixexp1,tfixexp1,2706,571612.0,551756.0,593492.5,13568104,0.6392,0.5137,0.8517,0.3589,0.2948,0.3893,0.3732,0.3281,0.4287,0.5292,0.471,0.572,0.6249,0.4977,0.6755,0.005,0.3589,0.4869,0.3882,0.6107,0.2471,0.9329,59.592,4,3.534320744746631e-12,True
isotonic,drop_tfixexp2,tfixexp2,2606,568860.5,550474.0,590736.5,13568105,0.6462,0.5192,0.8549,0.3607,0.296,0.3947,0.3751,0.3241,0.4366,0.5304,0.475,0.5732,0.6267,0.4995,0.6764,0.005,0.3607,0.4893,0.3906,0.613,0.2457,0.9344,61.007,4,1.7817608630834563e-12,True
