sd,theta,n,f0,f0_se,opp,same,n0opp,pabs,tfix_med,ratio
0.0025,0.05,96,0.8776326007742631,0.009656339101459806,2.9132579364178106,5.082720415852361,2.5578875934203746,0.10258569643122857,444503.0,0.7724025641159309
0.0025,0.1,96,0.7727875147961921,0.010310617634259918,2.912260375743362,5.084551283016147,2.2609261770724074,0.19176628722171452,428724.5,0.7449846302484356
0.0025,0.15,96,0.6838116720127818,0.01345333444437257,2.912650474904845,5.083831774153441,1.9745938614701266,0.2799225518895795,446215.0,0.7753774668494703
0.0025,0.2,96,0.5852880821743057,0.015893977860103985,2.909514945906851,5.087956920084871,1.7113756985978668,0.36598895666892856,431599.5,0.7499804511356587
0.0025,0.3,96,0.4407771008166155,0.01658281980582314,2.9098854365741498,5.087935640486789,1.286428215166823,0.5120070542945496,335004.0,0.5821286888707012
0.0025,0.4,96,0.33387362400232884,0.015294091893366958,2.9101988174750506,5.086297886396344,0.9980338798778288,0.6134577041907199,377662.5,0.6562553759376939
0.0025,0.5,96,0.27220609150838226,0.01215451058893497,2.909882168849038,5.0880031011313465,0.809389382250442,0.6803465590699872,301630.0,0.5241354623349859
0.0025,0.6,96,0.23270940851618205,0.012262051399164206,2.9070746140892285,5.09100994829927,0.6907977604518617,0.7238986268550556,293841.0,0.5106006975034797
0.0025,0.8,96,0.16615412952740807,0.011386217511026017,2.9091599315337984,5.088914101657924,0.4874859443466004,0.7991031826463436,284934.5,0.49512407881407033
0.0025,1.0,96,0.13742786457095138,0.010452467280503214,2.907779016836272,5.0903067394624895,0.39784832154586236,0.8338974341194884,262479.0,0.4561036767504053
0.0025,2.0,96,0.057380385749797945,0.004990678143710932,2.905455209521863,5.093037182583685,0.1685498353719278,0.924877588341094,236409.0,0.41080244178348196
0.0025,5.0,96,0.014568962901506423,0.001511850963663761,2.9021003834903483,5.0969902389687425,0.045252849472972645,0.9778035233528451,199533.5,0.34672473982633656
0.01,0.05,96,0.9039657301628288,0.0024069043049156154,2.9107559762450763,5.086148191633584,2.624283616331128,0.0725923919875962,593171.5,1.0307403719671022
0.01,0.1,96,0.8114723537496126,0.0036630441146768243,2.910352350006407,5.085767181713338,2.350215324937118,0.14721522299866585,532670.5,0.9256091860547959
0.01,0.15,96,0.7104259280610069,0.004583965897905305,2.9080435262889615,5.089168363772808,2.069691266994542,0.22987177028051523,501612.0,0.8716395502197293
0.01,0.2,96,0.6342630556790789,0.005557978092621235,2.9081065062344478,5.089532053621232,1.8491730943196938,0.2963815831169412,439590.5,0.7638662266868932
0.01,0.3,96,0.49613484979600586,0.006464375997303505,2.905064936836956,5.092744770953453,1.438379150741002,0.4309900599902954,359788.0,0.6251952714338093
0.01,0.4,96,0.3611838115829286,0.008410613899301828,2.903879091224125,5.094823885311489,1.0581382974986326,0.5676623652826817,244268.0,0.42445884399311185
0.01,0.5,96,0.26821315685234653,0.009517743195515311,2.903636862022482,5.094795797305122,0.782732193814334,0.6727037947684503,245224.0,0.4261200630429154
0.01,0.6,96,0.20462663810245804,0.009069657910890292,2.8987098431401535,5.100475940040561,0.6019262178770473,0.7434876503181874,206751.5,0.3592672911877195
0.01,0.8,96,0.11416296842563001,0.006550786452500215,2.895164352103198,5.104179057269357,0.33494604555989893,0.8520578224626005,168285.5,0.29242581423192077
0.01,1.0,96,0.06550387826009862,0.0055491764390325545,2.9001190770711847,5.099342301757482,0.1958423659679163,0.9111881307513413,141946.5,0.2466571441976364
0.01,2.0,96,0.019882257958833683,0.0023979928094554144,2.893174363387224,5.106480071332602,0.05938521627966221,0.9711786825640556,116630.5,0.20266611756078828
0.01,5.0,96,0.005339767973568248,0.0006716534767935177,2.8892414728839366,5.110586539362514,0.015133786510089668,0.991864689591801,97229.0,0.1689525805369769
0.04,0.05,96,0.9171785965590256,0.0006612589111944343,2.910365880087292,5.085916031943446,2.659106961532756,0.0564467809397102,442394.5,0.7687386725191623
0.04,0.1,96,0.8388122031226372,0.0012956449040545665,2.9071196090858717,5.089353683130605,2.423931528199948,0.11240152901292205,553796.5,0.962319346772526
0.04,0.15,96,0.7684904182280644,0.001571015707517652,2.907307466892064,5.089368361594452,2.211376005883031,0.16679026504359018,488726.5,0.8492487154224032
0.04,0.2,96,0.6999430631033219,0.0013822934603682177,2.9053617363360416,5.091499931758182,2.0051907642163123,0.2236226105303245,457907.5,0.7956952531882026
0.04,0.3,96,0.5795235498697788,0.001876003870898333,2.9023551913167007,5.095088960618813,1.646457555889114,0.3296154311549879,472041.0,0.820254708669791
0.04,0.4,96,0.4706127005682568,0.002123338859196555,2.898467269922795,5.099557173138382,1.332742657918794,0.43329509975742475,407961.5,0.7089052462201185
0.04,0.5,96,0.375920795833486,0.002375443241791632,2.892703972886103,5.105940882264809,1.0617234861356575,0.5320060075801842,326420.5,0.5672133397974911
0.04,0.6,96,0.2896894646420311,0.002959034644966952,2.8887278093224418,5.109810000890443,0.8150199558394099,0.6290179900014695,289393.0,0.5028715109621343
0.04,0.8,96,0.15041758860746568,0.003883845768431678,2.881912313461734,5.11781762242733,0.42262218489073966,0.7967615990995344,161123.0,0.2799797039346216
0.04,1.0,96,0.07011890499589114,0.00422503443340205,2.8780732295348663,5.12182580709919,0.19796316285745066,0.9018052232388324,98895.0,0.17184755013632075
0.04,2.0,96,0.005274376750843039,0.000968045087779738,2.86228438558382,5.13771561441618,0.014732583488988952,0.9920201056897803,69797.0,0.12128462972713261
0.04,5.0,96,0.0009956117172905852,0.0001978599325385516,2.8477013940243894,5.1521609612668495,0.0028294383195520867,0.9981957666146606,52097.5,0.09052861866855726
