level,sd,theta_min,theta_max,ratio_min,ratio_max,crossing,status
0.25,0.0025,0.05,16.0,0.24097969990403145,0.8510592778171219,14.512185103603866,bracketed
0.25,0.005,0.1,4.0,0.2357193317655853,0.8116370800066716,3.050626711420215,bracketed
0.25,0.01,0.05,10.0,0.15029772950146136,1.0359563277670418,1.2094440428829387,bracketed
0.25,0.02,0.025,1.2,0.17441560925175106,0.9592173019306355,0.7959531467509164,bracketed
0.25,0.04,0.00625,10.0,0.08803170192644391,0.9926071917894944,0.8532699325005597,bracketed
0.3,0.0025,0.05,16.0,0.24097969990403145,0.8510592778171219,8.448477801263849,bracketed
0.3,0.005,0.1,4.0,0.2357193317655853,0.8116370800066716,1.194331532392948,bracketed
0.3,0.01,0.05,10.0,0.15029772950146136,1.0359563277670418,0.7607924218189743,bracketed
0.3,0.02,0.025,1.2,0.17441560925175106,0.9592173019306355,0.7073909503512317,bracketed
0.3,0.04,0.00625,10.0,0.08803170192644391,0.9926071917894944,0.7833032708060877,bracketed
0.4,0.0025,0.05,16.0,0.24097969990403145,0.8510592778171219,1.8744968625677638,bracketed
0.4,0.005,0.1,4.0,0.2357193317655853,0.8116370800066716,0.6720958288555775,bracketed
0.4,0.01,0.05,10.0,0.15029772950146136,1.0359563277670418,0.5374218449567254,bracketed
0.4,0.02,0.025,1.2,0.17441560925175106,0.9592173019306355,0.5826626696190988,bracketed
0.4,0.04,0.00625,10.0,0.08803170192644391,0.9926071917894944,0.6993452151966316,bracketed
0.5,0.0025,0.05,16.0,0.24097969990403145,0.8510592778171219,0.6325050589791732,bracketed
0.5,0.005,0.1,4.0,0.2357193317655853,0.8116370800066716,0.3582432968872697,bracketed
0.5,0.01,0.05,10.0,0.15029772950146136,1.0359563277670418,0.3725154110229679,bracketed
0.5,0.02,0.025,1.2,0.17441560925175106,0.9592173019306355,0.5287613248516944,bracketed
0.5,0.04,0.00625,10.0,0.08803170192644391,0.9926071917894944,0.6214904474587227,bracketed
0.6,0.0025,0.05,16.0,0.24097969990403145,0.8510592778171219,0.2894289181147134,bracketed
0.6,0.005,0.1,4.0,0.2357193317655853,0.8116370800066716,0.258712638604084,bracketed
0.6,0.01,0.05,10.0,0.15029772950146136,1.0359563277670418,0.29995692205268387,bracketed
0.6,0.02,0.025,1.2,0.17441560925175106,0.9592173019306355,0.43746860360199025,bracketed
0.6,0.04,0.00625,10.0,0.08803170192644391,0.9926071917894944,0.4771025992497682,bracketed
0.7,0.0025,0.05,16.0,0.24097969990403145,0.8510592778171219,0.22759427567357995,bracketed
0.7,0.005,0.1,4.0,0.2357193317655853,0.8116370800066716,0.18605271239266188,bracketed
0.7,0.01,0.05,10.0,0.15029772950146136,1.0359563277670418,0.22825563157233159,bracketed
0.7,0.02,0.025,1.2,0.17441560925175106,0.9592173019306355,0.2721793147893849,bracketed
0.7,0.04,0.00625,10.0,0.08803170192644391,0.9926071917894944,0.40790709813602516,bracketed
0.75,0.0025,0.05,16.0,0.24097969990403145,0.8510592778171219,0.09972871504582732,bracketed
0.75,0.005,0.1,4.0,0.2357193317655853,0.8116370800066716,0.14088717751594856,bracketed
0.75,0.01,0.05,10.0,0.15029772950146136,1.0359563277670418,0.19926928935964988,bracketed
0.75,0.02,0.025,1.2,0.17441560925175106,0.9592173019306355,0.21020090076459458,bracketed
0.75,0.04,0.00625,10.0,0.08803170192644391,0.9926071917894944,0.3319273622281685,bracketed
