level,sd,theta_star,ci_lo,ci_hi,boot_frac_defined,note
0.25,0.0025,14.512185103603866,11.62025536607268,15.834063870125572,0.734,
0.25,0.005,3.050626711420215,2.2490305295964705,3.872106896664748,0.9126666666666666,
0.25,0.01,1.2094440428829387,0.9238177456354881,1.5049779959136065,1.0,
0.25,0.02,0.7959531467509164,0.753914223929885,0.8908872406514936,1.0,
0.25,0.04,0.8532699325005597,0.8054257590531648,0.9012614750182865,1.0,
0.25,,2.050002982813218,0.7697159621410037,5.459822111332591,,"RE_pooled_5sd (I2=1.00, Q_p=1.35e-288)"
0.25,,1.2195856652261974,0.87176625414043,1.7061789072023745,,RE_pooled_4sd_excl_sd0.0025 (I2=0.97)
0.3,0.0025,8.448477801263849,4.947303497170375,10.562524145202596,1.0,
0.3,0.005,1.194331532392948,1.052574399041446,1.8283554084293347,1.0,
0.3,0.01,0.7607924218189743,0.6906255307902116,0.8628146787707207,1.0,
0.3,0.02,0.7073909503512317,0.6279706621987139,0.760792907040783,1.0,
0.3,0.04,0.7833032708060877,0.7596625735105696,0.8368562821037208,1.0,
0.3,,1.2414605417673747,0.8906232607575595,1.7305008129412498,,"RE_pooled_5sd (I2=0.98, Q_p=2.09e-37)"
0.3,,0.785136560351818,0.7076377678407043,0.8711228348962996,,RE_pooled_4sd_excl_sd0.0025 (I2=0.76)
0.4,0.0025,1.8744968625677638,1.361686782520781,2.2733899213768156,1.0,
0.4,0.005,0.6720958288555775,0.521912031677182,0.8121406196533643,1.0,
0.4,0.01,0.5374218449567254,0.4630539236938246,0.570869013294503,1.0,
0.4,0.02,0.5826626696190988,0.5557971521378418,0.6602120456574521,1.0,
0.4,0.04,0.6993452151966316,0.6718321704427465,0.7464431175788987,1.0,
0.4,,0.7394012689418781,0.5956733058081953,0.9178088579462038,,"RE_pooled_5sd (I2=0.95, Q_p=2.4e-15)"
0.4,,0.6179639005918371,0.5383145428338563,0.7093982273344229,,RE_pooled_4sd_excl_sd0.0025 (I2=0.87)
0.5,0.0025,0.6325050589791732,0.29497355913950285,0.814566421628067,1.0,
0.5,0.005,0.3582432968872697,0.2840104772634532,0.3850973550080231,1.0,
0.5,0.01,0.3725154110229679,0.3271733139277371,0.43092894399859577,1.0,
0.5,0.02,0.5287613248516944,0.4733159640176449,0.56770998133646,1.0,
0.5,0.04,0.6214904474587227,0.4910600492091462,0.6825217328517585,1.0,
0.5,,0.4754322235931485,0.3789847641209326,0.5964245020641473,,"RE_pooled_5sd (I2=0.91, Q_p=6.83e-09)"
0.5,,0.4571387757520404,0.35826444595767937,0.5833005832813227,,RE_pooled_4sd_excl_sd0.0025 (I2=0.93)
0.6,0.0025,0.2894289181147134,0.2271347188941681,0.48013997822275567,1.0,
0.6,0.005,0.258712638604084,0.21340347187332545,0.3149926368167632,1.0,
0.6,0.01,0.29995692205268387,0.25391198898605905,0.3351580967158032,1.0,
0.6,0.02,0.43746860360199025,0.2736634256882262,0.5210675739336131,1.0,
0.6,0.04,0.4771025992497682,0.43444898221263156,0.606252758600884,1.0,
0.6,,0.3434963127752743,0.2650713623553732,0.4451243462959376,,"RE_pooled_5sd (I2=0.85, Q_p=2.6e-05)"
0.6,,0.35419852000606766,0.26401695744641934,0.47518383965904676,,RE_pooled_4sd_excl_sd0.0025 (I2=0.88)
0.7,0.0025,0.22759427567357995,0.09487228751014888,0.29945972228353085,1.0,
0.7,0.005,0.18605271239266188,0.12821564927345744,0.2282412508848736,0.9953333333333333,
0.7,0.01,0.22825563157233159,0.19148033875707346,0.26444738337171503,1.0,
0.7,0.02,0.2721793147893849,0.12319770398409113,0.3901676417428026,1.0,
0.7,0.04,0.40790709813602516,0.04255289809830747,0.47438861906680346,1.0,
0.7,,0.22195402111166082,0.19342042803259055,0.25469692104773367,,"RE_pooled_5sd (I2=0.00, Q_p=0.661)"
0.7,,0.2217004113219196,0.1926014971970391,0.25519569211876275,,RE_pooled_4sd_excl_sd0.0025 (I2=0.00)
0.75,0.0025,0.09972871504582732,0.08530963881550054,0.24723194598591733,0.9986666666666667,
0.75,0.005,0.14088717751594856,0.10523011443808214,0.20223852240904253,0.8693333333333333,
0.75,0.01,0.19926928935964988,0.16537403893046856,0.23356184316852524,1.0,
0.75,0.02,0.21020090076459458,0.0675434898069026,0.3166732301361401,1.0,
0.75,0.04,0.3319273622281685,0.03517841026013452,0.4227036951789919,1.0,
0.75,,0.16723688040574702,0.12763051237815895,0.21913391748345162,,"RE_pooled_5sd (I2=0.35, Q_p=0.19)"
0.75,,0.18160382254245963,0.14797157259149904,0.22288029913069843,,RE_pooled_4sd_excl_sd0.0025 (I2=0.11)
