dataset,model,k,params,param_se,rss,n,AIC,dAIC
"deposited census (192x32, 9 rungs, 216 runs)","exponential exp(-theta/theta0) [Haigh form, A=1]",1,[0.41151435036528067],[0.006755136053920828],0.7764766655445321,216,-1213.7056925936627,7.637738127596322
"deposited census (192x32, 9 rungs, 216 runs)",exponential A*exp(-theta/theta0),2,"[1.0288400388265837, 0.3947727207141316]","[0.012585021262943488, 0.009471688210496104]",0.7573050560901509,216,-1217.1057873655088,4.237643355750151
"deposited census (192x32, 9 rungs, 216 runs)",power law A*theta^-b,2,"[0.21154486255689672, 0.5208091158983214]","[0.009515238978745962, 0.01858677257194248]",3.2142201387408273,216,-904.8618281878545,316.4816025334045
"deposited census (192x32, 9 rungs, 216 runs)",stretched exponential exp(-(theta/theta0)^beta),2,"[0.40566009967797884, 1.0857646283982365]","[0.006415823216502743, 0.028025595778557667]",0.7425924935283368,216,-1221.343430721259,0.0
"deposited census (192x32, 9 rungs, 216 runs)",logistic/Hill 1/(1+(theta/theta0)^beta),2,"[0.2735178698365926, 1.5832636437026826]","[0.004704546947404116, 0.0448936815946927]",0.8713308716073626,216,-1186.8105717812007,34.532858940058304
"new census (192x32, 14 rungs, 896 runs)","exponential exp(-theta/theta0) [Haigh form, A=1]",1,[0.4034858867326986],[0.0031455347177836313],2.90856835733978,896,-5132.330365940534,76.00790596922798
"new census (192x32, 14 rungs, 896 runs)",exponential A*exp(-theta/theta0),2,"[1.0445045824385968, 0.3807442467129819]","[0.006598150293687814, 0.004295940033525454]",2.7608362959674277,896,-5177.036468928369,31.30180298139294
"new census (192x32, 14 rungs, 896 runs)",power law A*theta^-b,2,"[0.1898384542307747, 0.5738720808540768]","[0.004448974329463302, 0.009989027142648677]",13.343215019701837,896,-3765.4114264128693,1442.9268454968924
"new census (192x32, 14 rungs, 896 runs)",stretched exponential exp(-(theta/theta0)^beta),2,"[0.3998102339087039, 1.1132823597389228]","[0.002824298800235531, 0.012950527860707706]",2.6660516406283543,896,-5208.338271909762,0.0
"new census (192x32, 14 rungs, 896 runs)",logistic/Hill 1/(1+(theta/theta0)^beta),2,"[0.2697812235499941, 1.6577248910037965]","[0.002219026364990739, 0.02123911286097733]",3.264010565881231,896,-5027.025429948981,181.31284196078104
