arm,radius,theta,n,n_fixed,p_fix,p_fix_lo,p_fix_hi,n_censored
clean,0,0.4,2000,0,0.0,0.0,0.0019171176005129348,0
clean,0,0.8,2000,5,0.0025,0.0010682929691057186,0.005839239043404651,0
clean,3,0.4,450,2,0.0044444444444444444,0.0012196487766356554,0.016058626286734472,0
clean,3,0.8,450,34,0.07555555555555556,0.05456914048759412,0.1037274986922431,0
drclean02,0,0.4,2000,58,0.029,0.02250029695161516,0.03730562782806803,0
drclean02,0,0.8,2000,66,0.033,0.026022639287604506,0.04176794855127458,0
drclean02,3,0.4,450,231,0.5133333333333333,0.46723498760396276,0.5592059556678748,0
drclean02,3,0.8,450,258,0.5733333333333334,0.5272041194107047,0.6182210685844021,0
drclean05,0,0.4,700,34,0.04857142857142857,0.03496364905582479,0.06710704412286769,0
drclean05,0,0.8,700,42,0.06,0.04469275145242711,0.08011032924072885,0
drclean10,0,0.4,2000,184,0.092,0.08010306146970764,0.10546130649231092,0
drclean10,0,0.8,2000,194,0.097,0.08479110556577746,0.110754091220236,0
drclean10,3,0.4,450,428,0.9511111111111111,0.927089268370908,0.96749597899293,0
drclean10,3,0.8,450,429,0.9533333333333334,0.9297145615245549,0.9692775097179228,0
driver02,0,0.0,2100,41,0.019523809523809523,0.014424196161599831,0.026378115191117983,0
driver02,0,0.4,2000,24,0.012,0.00807709618377981,0.017794010594320817,0
driver02,0,0.8,2000,6,0.003,0.0013756111462276122,0.006530003748682246,0
driver02,3,0.0,600,254,0.42333333333333334,0.38440880935423183,0.46323335375609387,0
driver02,3,0.4,450,155,0.34444444444444444,0.3020225371878889,0.3894997913073394,0
driver02,3,0.8,450,80,0.17777777777777778,0.14522442674573008,0.21578611085152857,0
driver05,0,0.0,800,44,0.055,0.04122340967774292,0.07302994570968664,0
driver05,0,0.4,700,28,0.04,0.027817417207753308,0.057203985335091564,0
driver05,0,0.8,700,24,0.03428571428571429,0.023146294869098145,0.050508913916515,0
driver10,0,0.0,2100,211,0.10047619047619048,0.08833844254555906,0.11407299375268698,0
driver10,0,0.4,2000,160,0.08,0.06889938470059176,0.09271099408383912,0
driver10,0,0.8,2000,153,0.0765,0.0656457420341257,0.08897805657350875,0
driver10,3,0.0,600,557,0.9283333333333333,0.9048552635936665,0.9463613468551665,0
driver10,3,0.4,450,416,0.9244444444444444,0.8962725013077568,0.9454308595124059,0
driver10,3,0.8,450,427,0.9488888888888889,0.9244746168980654,0.965703806587133,0
matched,0,0.0,2100,1,0.0004761904761904762,8.406209566901154e-05,0.0026925727992774527,0
matched,0,0.4,500,0,0.0,0.0,0.007624618530903363,0
matched,0,0.8,500,0,0.0,0.0,0.007624618530903363,0
matched,3,0.0,600,3,0.005,0.0017018468527197168,0.014596467142208754,0
matched,3,0.4,250,3,0.012,0.004089245839774545,0.034681389075857876,0
matched,3,0.8,250,1,0.004,0.0007064293567593388,0.02230634711486706,0
