arm,radius,theta,k_lo,k_hi,n_cond,n_cond_anchor,dt_med,dt_med_anchor,dt_ratio,dt_ratio_lo,dt_ratio_hi,speed_ratio,speed_ratio_lo,speed_ratio_hi
clean,0,0.4,256,8192,1,1,159848.0,319291.0,,,,,,
clean,0,0.8,256,8192,5,1,55478.0,319291.0,,,,,,
clean,3,0.4,256,8192,3,5,350862.0,490573.0,,,,,,
clean,3,0.8,256,8192,38,5,69913.0,490573.0,0.1425129389509818,0.09153177274481065,0.3350234808934659,7.016906726932045,2.9848654110246975,10.925168059270375
drclean02,0,0.4,256,8192,58,41,33417.0,32347.0,1.033078801743593,0.9275406783102579,1.101114266195101,0.9679803692731244,0.9081709598182746,1.0781198317056504
drclean02,0,0.8,256,8192,67,41,29439.0,32347.0,0.9100998547005905,0.8288453999939692,0.9808116453462726,1.098780529229933,1.0195637508432651,1.2064976170553352
drclean02,3,0.4,256,8192,231,254,34557.0,31755.0,1.0882380727444496,1.0484952697787144,1.1217348638759395,0.918916572619151,0.8914762589661268,0.9537477457681336
drclean02,3,0.8,256,8192,261,254,30205.0,31755.0,0.9511887891670603,0.9011423146418399,0.9918461469158772,1.0513160072835623,1.0082208849724092,1.1097026338147833
drclean05,0,0.4,256,8192,34,44,16640.0,17101.0,0.9730425121337933,0.918294378416197,1.0626715809015879,1.027704326923077,0.9410245065098887,1.0889754130094127
drclean05,0,0.8,256,8192,42,44,15936.0,17101.0,0.9318753289281329,0.8671929390290682,0.9763845101421689,1.0731049196787148,1.0241866699159254,1.1531459205832857
drclean10,0,0.4,256,8192,184,211,10574.5,10637.0,0.9941242831625459,0.9767374515979828,1.014806413268279,1.005910444938295,0.9854096179579772,1.0238165828124628
drclean10,0,0.8,256,8192,194,211,10162.0,10637.0,0.9553445520353483,0.9374872377946909,0.9749175352851471,1.0467427671718166,1.0257277808707346,1.066681187417934
drclean10,3,0.4,256,8192,428,557,10537.5,10692.0,0.9855499438832772,0.972750023171749,0.9998613849873278,1.0146619217081851,1.0001386342294576,1.0280133396855646
drclean10,3,0.8,256,8192,429,557,10157.0,10692.0,0.9499625888514778,0.9361810808473836,0.9623139501000512,1.0526730333759968,1.0391619075001777,1.0681694177101408
driver02,0,0.0,256,8192,41,41,32347.0,32347.0,1.0,0.9477494585051776,1.0545665770268968,1.0,0.9482568685414491,1.05513117525515
driver02,0,0.4,256,8192,25,41,33592.0,32347.0,1.0384888861409096,0.9497091502262165,1.2480470544986675,0.9629376041914741,0.8012518409425625,1.0529539488608743
driver02,0,0.8,256,8192,6,41,43851.5,32347.0,1.355658948279593,0.9788021011407081,1.5954003939839279,0.7376486551201213,0.626801901122054,1.0216569813597536
driver02,3,0.0,256,8192,254,254,31755.0,31755.0,1.0,0.9661161872045165,1.0360149916409003,1.0,0.9652369975999501,1.0350721923969903
driver02,3,0.4,256,8192,156,254,39087.5,31755.0,1.230908518343568,1.173747828969837,1.3976042213013171,0.8124080588423409,0.7155101456898109,0.8519717568957462
driver02,3,0.8,256,8192,84,254,42823.0,31755.0,1.3485435364509526,1.1493603135199013,1.601566463723998,0.7415407608061089,0.6243886985962342,0.8700491814768797
driver05,0,0.0,256,8192,44,44,17101.0,17101.0,1.0,0.9475043573074303,1.0568772789766274,1.0,0.9461836486524702,1.055404117445696
driver05,0,0.4,256,8192,28,44,19636.5,17101.0,1.1482661832641365,1.0639454108431876,1.258052237057859,0.8708782114939017,0.7948795531246363,0.9398978460816799
driver05,0,0.8,256,8192,24,44,23827.0,17101.0,1.3933103327290801,1.2208069169387805,1.5756689779051851,0.7177151970453687,0.6346510682272088,0.8191303523308483
driver10,0,0.0,256,8192,211,211,10637.0,10637.0,1.0,0.9803211733036294,1.0192047533233224,1.0,0.9811571195476656,1.0200738566423635
driver10,0,0.4,256,8192,160,211,11274.5,10637.0,1.0599323117420325,1.0310962591664345,1.0829388619239815,0.9434564725708457,0.9234131631617414,0.9698415556355781
driver10,0,0.8,256,8192,153,211,11543.0,10637.0,1.0851743912757357,1.057859750959648,1.121846237089942,0.9215108723901931,0.8913877561277828,0.9453048942384282
driver10,3,0.0,256,8192,557,557,10692.0,10692.0,1.0,0.9881763659268675,1.012162092638749,1.0,0.9879840465008507,1.0119651050974514
driver10,3,0.4,256,8192,416,557,11278.5,10692.0,1.0548540965207631,1.0404929536540488,1.067161375164381,0.9479984040430909,0.9370653991726081,0.9610829141015863
driver10,3,0.8,256,8192,427,557,11469.0,10692.0,1.0726711560044893,1.0511792672695068,1.0897664384204109,0.9322521579911065,0.9176278189017042,0.9513125221709826
matched,0,0.0,256,8192,1,1,319291.0,319291.0,,,,,,
matched,0,0.4,256,8192,0,1,,319291.0,,,,,,
matched,0,0.8,256,8192,0,1,,319291.0,,,,,,
matched,3,0.0,256,8192,5,5,490573.0,490573.0,1.0,0.42755104744859584,2.338902000047677,1.0,0.4275510474485958,2.338902000047677
matched,3,0.4,256,8192,3,5,214175.0,490573.0,,,,,,
matched,3,0.8,256,8192,1,5,159149.0,490573.0,,,,,,
