arm,radius,theta,k,surv_k,n,p,p_lo,p_hi,anchor_arm,anchor_k,anchor_n,p_anchor,ratio,ratio_lo,ratio_hi
clean,0,0.4,8,223,2000,0.1115,0.0984433779970263,0.12604622237857227,matched,246,2100,0.11714285714285715,0.9518292682926829,0.8011080368906456,1.1276209575997125
clean,0,0.4,32,72,2000,0.036,0.02868448710149568,0.045094598031780314,matched,53,2100,0.025238095238095237,1.4264150943396225,1.0022543706293705,2.025
clean,0,0.4,128,28,2000,0.014,0.009703718394559921,0.020159719913138655,matched,14,2100,0.006666666666666667,2.1,1.145350790513834,4.317031250000001
clean,0,0.4,256,17,2000,0.0085,0.005313722640142794,0.013570803961161424,matched,7,2100,0.0033333333333333335,2.55,1.1375,7.875
clean,0,0.4,512,5,2000,0.0025,0.0010682929691057186,0.005839239043404651,matched,4,2100,0.0019047619047619048,1.3125,0.2625,6.3
clean,0,0.4,2048,2,2000,0.001,0.000274273176083379,0.0036390101892285302,matched,1,2100,0.0004761904761904762,2.1,0.0,5.25
clean,0,0.4,6144,2,2000,0.001,0.000274273176083379,0.0036390101892285302,matched,1,2100,0.0004761904761904762,2.1,0.0,5.25
clean,0,0.8,8,251,2000,0.1255,0.11169492212941057,0.1407409989533736,matched,246,2100,0.11714285714285715,1.071341463414634,0.9055734426500911,1.2609210526315793
clean,0,0.8,32,76,2000,0.038,0.03046747631677216,0.0473039403461018,matched,53,2100,0.025238095238095237,1.5056603773584907,1.05,2.1210218750000007
clean,0,0.8,128,37,2000,0.0185,0.013451271532792346,0.025394912716501614,matched,14,2100,0.006666666666666667,2.7749999999999995,1.55,5.7749999999999995
clean,0,0.8,256,26,2000,0.013,0.00888683405424848,0.01898043848865112,matched,7,2100,0.0033333333333333335,3.8999999999999995,1.9062272727272729,11.602500000000033
clean,0,0.8,512,15,2000,0.0075,0.004550336456172238,0.012338024380333004,matched,4,2100,0.0019047619047619048,3.9375,1.47,17.85
clean,0,0.8,2048,5,2000,0.0025,0.0010682929691057186,0.005839239043404651,matched,1,2100,0.0004761904761904762,5.25,0.7000000000000001,9.45
clean,0,0.8,6144,5,2000,0.0025,0.0010682929691057186,0.005839239043404651,matched,1,2100,0.0004761904761904762,5.25,0.525,9.45
clean,3,0.4,8,450,450,1.0,0.9915353726939092,1.0,matched,600,600,1.0,1.0,1.0,1.0
clean,3,0.4,32,407,450,0.9044444444444445,0.8737579401201372,0.9282840057922694,matched,551,600,0.9183333333333333,0.9848759830611011,0.9473060982830076,1.0225582304384815
clean,3,0.4,128,136,450,0.3022222222222222,0.26161328277529056,0.34617939202578546,matched,143,600,0.23833333333333334,1.268065268065268,1.0424172762103796,1.5572539440203563
clean,3,0.4,256,75,450,0.16666666666666666,0.13508466592525742,0.20389175227880318,matched,77,600,0.12833333333333333,1.2987012987012987,0.9547278338945004,1.7486338797814207
clean,3,0.4,512,39,450,0.08666666666666667,0.06404520955160474,0.11628554902143047,matched,40,600,0.06666666666666667,1.3,0.8372093023255813,2.000450450450452
clean,3,0.4,2048,9,450,0.02,0.010556917460250073,0.037569124753597236,matched,9,600,0.015,1.3333333333333335,0.48484848484848486,3.6666666666666665
clean,3,0.4,6144,4,450,0.008888888888888889,0.0034619344122710383,0.02262998840837828,matched,5,600,0.008333333333333333,1.0666666666666667,0.16666666666666666,4.888888888888889
clean,3,0.8,8,450,450,1.0,0.9915353726939092,1.0,matched,600,600,1.0,1.0,1.0,1.0
clean,3,0.8,32,415,450,0.9222222222222223,0.8937499296330166,0.9435466073085067,matched,551,600,0.9183333333333333,1.0042347247428918,0.9683959451401313,1.04143475572047
clean,3,0.8,128,199,450,0.44222222222222224,0.3970151323167229,0.4884074468386477,matched,143,600,0.23833333333333334,1.8554778554778555,1.5680974842767297,2.2262571073205404
